Timestep	MeanReward100Episodes	BestMeanReward	Episodes	Exploration	LearningRate	RunningTime
60000	-20.203125	-inf	64	0.946	0.0001	6.625401365756988
70000	-20.135135135135137	-inf	74	0.9369999999999999	0.0001	5.740630118052165
80000	-20.11904761904762	-inf	84	0.9279999999999999	0.0001	5.792150203386942
90000	-20.13684210526316	-inf	95	0.919	0.0001	5.9323744654655455
100000	-20.15	-20.14	107	0.91	0.0001	5.85576734940211
110000	-20.17	-20.13	118	0.901	0.0001	5.903296665350596
120000	-20.16	-20.13	128	0.892	0.0001	5.8785995165506995
130000	-20.15	-20.13	140	0.883	0.0001	6.287908053398132
140000	-20.17	-20.13	150	0.874	0.0001	6.265593067804972
150000	-20.19	-20.13	161	0.865	0.0001	6.289589353402456
160000	-20.12	-20.12	171	0.856	0.0001	6.271270596981049
170000	-20.19	-20.12	182	0.847	0.0001	6.331400001049042
180000	-20.19	-20.12	193	0.838	0.0001	6.2992992003758745
190000	-20.16	-20.12	203	0.829	0.0001	6.131640434265137
200000	-20.16	-20.12	214	0.82	0.0001	5.806414834658304
210000	-20.21	-20.12	226	0.8109999999999999	0.0001	5.824685867627462
220000	-20.24	-20.12	237	0.802	0.0001	6.007643814881643
230000	-20.24	-20.12	248	0.7929999999999999	0.0001	6.289311949412028
240000	-20.27	-20.12	259	0.784	0.0001	6.319274850686392
250000	-20.33	-20.12	270	0.775	0.0001	6.116222552458445
260000	-20.34	-20.12	280	0.766	0.0001	6.2798709313074745
270000	-20.31	-20.12	290	0.757	0.0001	6.130601215362549
280000	-20.28	-20.12	300	0.748	0.0001	5.877962350845337
290000	-20.31	-20.12	311	0.739	0.0001	6.121743937333425
300000	-20.22	-20.12	321	0.73	0.0001	6.231033913294474
310000	-20.16	-20.12	331	0.721	0.0001	6.300036136309306
320000	-20.14	-20.11	341	0.712	0.0001	6.335320802529653
330000	-20.12	-20.1	351	0.703	0.0001	6.157782518863678
340000	-20.13	-20.09	362	0.694	0.0001	5.891397082805634
350000	-20.13	-20.09	373	0.685	0.0001	6.290406453609466
360000	-20.16	-20.09	384	0.6759999999999999	0.0001	6.339882755279541
370000	-20.22	-20.09	395	0.667	0.0001	6.174460005760193
380000	-20.25	-20.09	406	0.6579999999999999	0.0001	6.044578218460083
390000	-20.25	-20.09	417	0.649	0.0001	6.106380132834117
400000	-20.2	-20.09	426	0.6399999999999999	0.0001	5.882896331946055
410000	-20.18	-20.09	435	0.631	0.0001	5.827522834142049
