Iteration	Time	TimestepsThisBatch	PoolSize	MaxEpReturn	LastEpReturn	Episodes	TimestepsSoFar
0	13.057163000106812	1000	2000	20.015629072057184	-31.143822551005552	19	2000
1	19.630802392959595	1000	3000	20.015629072057184	-43.95321336566866	22	3000
2	26.282301664352417	1000	4000	20.015629072057184	-83.87019491560592	23	4000
3	32.912365674972534	1000	5000	20.015629072057184	-70.68947763197355	28	5000
4	39.53460192680359	1000	6000	20.015629072057184	-20.991351699209023	30	6000
5	46.10605478286743	1000	7000	20.015629072057184	-608.0907068857682	31	7000
6	52.66918182373047	1000	8000	20.015629072057184	-55.80798987775007	34	8000
7	59.237140417099	1000	9000	20.015629072057184	-160.5933541806872	35	9000
8	65.81993770599365	1000	10000	20.015629072057184	-222.30927514816662	40	10000
9	72.37746620178223	1000	11000	20.015629072057184	-30.19585559144041	43	11000
10	78.92591285705566	1000	12000	20.015629072057184	-296.5110162204098	44	12000
11	85.49685478210449	1000	13000	20.015629072057184	-0.3455087768414177	49	13000
12	92.06418561935425	1000	14000	20.015629072057184	-83.07879228332033	51	14000
13	98.62256526947021	1000	15000	20.015629072057184	-22.49064626709473	57	15000
14	105.18756556510925	1000	16000	20.015629072057184	0.4703567977894112	61	16000
15	111.76799201965332	1000	17000	20.015629072057184	-116.48539322133405	62	17000
16	118.35074377059937	1000	18000	20.015629072057184	4.308193427271491	65	18000
17	124.91784405708313	1000	19000	20.015629072057184	-2.734538049528194	72	19000
18	131.4701337814331	1000	20000	20.015629072057184	-56.45834453936584	75	20000
19	138.0406093597412	1000	21000	20.015629072057184	-265.8372400909203	76	21000
20	144.623188495636	1000	22000	20.015629072057184	-51.57343666728705	85	22000
21	151.19166111946106	1000	23000	20.015629072057184	-218.9982798938993	86	23000
22	157.75737524032593	1000	24000	20.015629072057184	-115.46496300041348	88	24000
23	164.31349992752075	1000	25000	20.015629072057184	-22.053150014863533	96	25000
24	170.88461303710938	1000	26000	20.015629072057184	-23.92215149636977	102	26000
25	177.45229721069336	1000	27000	20.015629072057184	-44.96382156621378	104	27000
26	184.0251133441925	1000	28000	20.015629072057184	-43.63006304794676	111	28000
27	190.59912538528442	1000	29000	20.015629072057184	-211.94584178519565	112	29000
28	197.171865940094	1000	30000	20.015629072057184	-69.44810177871224	115	30000
29	203.7383484840393	1000	31000	20.015629072057184	-3.5414084265177195	119	31000
30	210.3162224292755	1000	32000	22.942808893240397	22.942808893240397	121	32000
31	216.89760541915894	1000	33000	43.04116953938253	43.04116953938253	123	33000
32	223.46043062210083	1000	34000	146.54334193200077	146.54334193200077	124	34000
33	230.03517961502075	1000	35000	146.54334193200077	46.3302961778939	125	35000
34	236.61489820480347	1000	36000	146.54334193200077	-28.0147834041194	126	36000
35	243.19415593147278	1000	37000	146.54334193200077	1.182371392388787	128	37000
36	249.7675952911377	1000	38000	146.54334193200077	-9.656373437484751	132	38000
37	256.33380699157715	1000	39000	146.54334193200077	58.49653776785054	136	39000
38	262.92784690856934	1000	40000	146.54334193200077	29.962926322920207	137	40000
39	269.50040459632874	1000	41000	167.12282203482516	-13.278112688355705	139	41000
40	276.0627405643463	1000	42000	167.12282203482516	-30.997459870837517	141	42000
41	282.6312975883484	1000	43000	167.12282203482516	37.8676636102623	145	43000
42	289.2004852294922	1000	44000	167.12282203482516	30.678102416521273	147	44000
43	295.7706084251404	1000	45000	210.94739506107956	210.94739506107956	148	45000
44	302.3434910774231	1000	46000	210.94739506107956	142.65060694269383	149	46000
45	308.9125771522522	1000	47000	210.94739506107956	12.00229948064889	151	47000
46	315.47803711891174	1000	48000	210.94739506107956	87.63490871970566	152	48000
47	322.04856967926025	1000	49000	210.94739506107956	80.66520403374697	154	49000
48	328.6266589164734	1000	50000	210.94739506107956	-84.89910810397669	157	50000
49	335.1974015235901	1000	51000	210.94739506107956	70.11092157894525	158	51000
50	341.77620124816895	1000	52000	210.94739506107956	151.26954042946343	160	52000
51	348.3480715751648	1000	53000	210.94739506107956	17.18497784775817	163	53000
52	354.91365027427673	1000	54000	210.94739506107956	154.63107614125326	164	54000
53	361.4900367259979	1000	55000	210.94739506107956	131.55483530327953	165	55000
54	368.070100069046	1000	56000	210.94739506107956	148.0045316456712	166	56000
55	374.64149594306946	1000	57000	210.94739506107956	109.02620823735545	168	57000
56	381.2291362285614	1000	58000	210.94739506107956	152.02865099876618	169	58000
57	387.8032138347626	1000	59000	259.3984915246841	259.3984915246841	170	59000
58	394.37529468536377	1000	60000	259.3984915246841	36.77121683857859	173	60000
59	400.9605052471161	1000	61000	259.3984915246841	129.08297936785786	174	61000
60	407.5362594127655	1000	62000	259.3984915246841	134.88847893810495	175	62000
61	414.11975359916687	1000	63000	259.3984915246841	186.90621817410877	176	63000
62	420.7101221084595	1000	64000	259.3984915246841	21.107071149307504	177	64000
63	427.2985825538635	1000	65000	259.3984915246841	88.47160895302909	178	65000
64	433.8723237514496	1000	66000	259.3984915246841	11.992840036219276	180	66000
65	440.44474959373474	1000	67000	259.3984915246841	178.5214409685481	181	67000
66	447.0245633125305	1000	68000	259.3984915246841	167.79205475292613	182	68000
67	453.6028859615326	1000	69000	259.3984915246841	28.638339826774846	184	69000
68	460.1827356815338	1000	70000	259.3984915246841	81.07199778913957	187	70000
69	466.7646496295929	1000	71000	259.3984915246841	14.296831442691172	188	71000
70	473.3391447067261	1000	72000	259.3984915246841	-0.24770750959936905	189	72000
71	479.91643142700195	1000	73000	259.3984915246841	-92.03655871418066	190	73000
72	486.48823070526123	1000	74000	259.3984915246841	-883.3822042355442	191	74000
73	493.0630819797516	1000	75000	259.3984915246841	-188.47786443973223	192	75000
74	499.62895607948303	1000	76000	259.3984915246841	-131.96459352550616	193	76000
75	506.2144544124603	1000	77000	259.3984915246841	103.6344310875976	194	77000
76	512.8003101348877	1000	78000	259.3984915246841	129.3356360672247	195	78000
77	519.3841207027435	1000	79000	259.3984915246841	76.66491877865843	196	79000
78	525.9649159908295	1000	80000	259.3984915246841	179.32269863722496	198	80000
79	532.5422804355621	1000	81000	259.3984915246841	202.1309687320707	199	81000
80	539.1043891906738	1000	82000	259.3984915246841	238.21661080672862	200	82000
81	545.6772842407227	1000	83000	398.1240791502113	398.1240791502113	201	83000
82	552.258305311203	1000	84000	398.1240791502113	11.883683725668394	203	84000
83	558.8301074504852	1000	85000	398.1240791502113	3.2381462591881736	205	85000
84	565.4192221164703	1000	86000	398.1240791502113	354.63936254250535	206	86000
85	572.0044913291931	1000	87000	398.1240791502113	372.15721657741335	207	87000
86	578.5918321609497	1000	88000	408.7389587229419	123.57234006342823	209	88000
87	585.1879377365112	1000	89000	465.2763269279723	465.2763269279723	210	89000
88	591.7943243980408	1000	90000	516.7337581407812	516.7337581407812	211	90000
89	598.4126749038696	1000	91000	516.7337581407812	24.33811452142125	213	91000
90	605.0302472114563	1000	92000	516.7337581407812	-43.80533438349397	214	92000
91	611.6367847919464	1000	93000	516.7337581407812	228.5821317907233	215	93000
92	618.2431271076202	1000	94000	516.7337581407812	86.60056900167262	216	94000
93	624.8289148807526	1000	95000	516.7337581407812	344.99080656829335	217	95000
94	631.4389152526855	1000	96000	516.7337581407812	370.404452091403	218	96000
95	638.0390846729279	1000	97000	517.7109579470259	517.7109579470259	219	97000
96	644.6444344520569	1000	98000	517.7109579470259	454.89550789187086	220	98000
97	651.2575862407684	1000	99000	518.0346865184189	518.0346865184189	221	99000
98	657.8624701499939	1000	100000	518.0346865184189	412.50622711214925	222	100000
99	665.0877990722656	1000	101000	518.0346865184189	311.79572930868744	223	101000
100	770.4511821269989	1000	102000	518.0346865184189	119.84278504764191	224	102000
101	777.2828679084778	1000	103000	518.0346865184189	246.52263496358347	226	103000
102	784.1101517677307	1000	104000	518.0346865184189	-579.9009036527542	227	104000
103	790.9494981765747	1000	105000	518.0346865184189	-23.377872938317278	229	105000
104	797.7887277603149	1000	106000	518.0346865184189	-674.88773127862	230	106000
105	804.629988193512	1000	107000	518.0346865184189	-141.0490546949755	231	107000
106	811.4777193069458	1000	108000	518.0346865184189	-137.92357521945024	232	108000
107	818.3025732040405	1000	109000	518.0346865184189	-90.01369094136679	234	109000
108	825.1392889022827	1000	110000	518.0346865184189	-495.5180434205327	235	110000
109	831.9804902076721	1000	111000	518.0346865184189	-298.8884985627062	236	111000
110	838.8196439743042	1000	112000	518.0346865184189	26.604159170222523	237	112000
111	845.6620464324951	1000	113000	518.0346865184189	-233.7536225971954	238	113000
112	852.4907121658325	1000	114000	518.0346865184189	-308.98696039260744	239	114000
113	859.3182175159454	1000	115000	518.0346865184189	-498.30545997158066	240	115000
114	866.1467535495758	1000	116000	518.0346865184189	-111.13216283599075	244	116000
115	872.9314856529236	1000	117000	518.0346865184189	-910.710047364778	245	117000
116	879.5559132099152	1000	118000	518.0346865184189	-1782.4761633257756	246	118000
117	886.1836643218994	1000	119000	518.0346865184189	-1542.9437558177135	247	119000
118	892.805380821228	1000	120000	518.0346865184189	-931.7591641943405	248	120000
119	899.4281644821167	1000	121000	518.0346865184189	-1264.2229656554837	249	121000
120	906.0817639827728	1000	122000	518.0346865184189	-964.736472248801	250	122000
121	912.7185387611389	1000	123000	518.0346865184189	-1452.3392046695865	251	123000
122	919.3552780151367	1000	124000	518.0346865184189	-1115.554799200126	252	124000
123	925.9497609138489	1000	125000	518.0346865184189	-55.81558442112353	257	125000
124	932.5648822784424	1000	126000	518.0346865184189	-1524.4654977109967	258	126000
125	939.1815538406372	1000	127000	518.0346865184189	-860.9853880867959	262	127000
126	945.7794251441956	1000	128000	518.0346865184189	-150.71307213321538	264	128000
127	952.4035956859589	1000	129000	518.0346865184189	-462.2724814242053	267	129000
128	959.0222697257996	1000	130000	518.0346865184189	-572.7432385448227	269	130000
129	965.6569581031799	1000	131000	518.0346865184189	-89.10414402793076	270	131000
130	972.2681572437286	1000	132000	518.0346865184189	-844.2079519908332	273	132000
131	978.8904745578766	1000	133000	518.0346865184189	-979.6755694882622	275	133000
132	985.5189139842987	1000	134000	518.0346865184189	-1535.4116871685285	276	134000
133	992.1593265533447	1000	135000	518.0346865184189	-1567.9660911260348	277	135000
134	998.7899005413055	1000	136000	518.0346865184189	-1825.6524221403415	278	136000
135	1005.403436422348	1000	137000	518.0346865184189	-2337.913623988773	279	137000
136	1012.024587392807	1000	138000	518.0346865184189	-615.9212234967805	281	138000
137	1018.6490933895111	1000	139000	518.0346865184189	-1356.907233395272	283	139000
138	1025.269515991211	1000	140000	518.0346865184189	-2687.630395498134	284	140000
139	1031.887178659439	1000	141000	518.0346865184189	-2881.8820307663004	285	141000
140	1038.5105080604553	1000	142000	518.0346865184189	-2795.59263001769	286	142000
141	1045.1564145088196	1000	143000	518.0346865184189	-2759.6916162844614	287	143000
142	1051.7874212265015	1000	144000	518.0346865184189	-2682.607275871494	288	144000
143	1058.4247252941132	1000	145000	518.0346865184189	-385.53940504313687	290	145000
144	1065.0473256111145	1000	146000	518.0346865184189	-877.9092004527924	291	146000
145	1071.6652626991272	1000	147000	518.0346865184189	-1990.4727311373438	293	147000
146	1078.3022170066833	1000	148000	518.0346865184189	-1837.4094692678048	294	148000
147	1084.9322006702423	1000	149000	518.0346865184189	-58.267771059491956	296	149000
148	1091.5582191944122	1000	150000	518.0346865184189	-2564.2779022126697	297	150000
149	1098.1968758106232	1000	151000	518.0346865184189	-25.36506143329641	301	151000
150	1104.8242914676666	1000	152000	518.0346865184189	-2598.295374919975	302	152000
151	1111.4613242149353	1000	153000	518.0346865184189	-2743.5877748206403	303	153000
152	1118.0963282585144	1000	154000	518.0346865184189	-2859.772109900855	304	154000
153	1124.727620124817	1000	155000	518.0346865184189	-545.6358318453159	307	155000
154	1131.3915331363678	1000	156000	518.0346865184189	-2861.0159149471074	308	156000
155	1138.0338537693024	1000	157000	518.0346865184189	-107.25767747015682	311	157000
156	1144.674678325653	1000	158000	518.0346865184189	-218.85430267573273	314	158000
157	1151.3146698474884	1000	159000	518.0346865184189	-200.02002349610834	327	159000
158	1157.9488863945007	1000	160000	518.0346865184189	-30.70548333097154	330	160000
159	1164.574355840683	1000	161000	518.0346865184189	-2928.143050238301	331	161000
160	1171.218369960785	1000	162000	518.0346865184189	-233.9068161398387	333	162000
161	1177.8439965248108	1000	163000	518.0346865184189	-2946.0663378709937	334	163000
162	1184.485312461853	1000	164000	518.0346865184189	-2980.9913263370204	335	164000
163	1191.1345670223236	1000	165000	518.0346865184189	-28.9465400172907	338	165000
164	1197.768597126007	1000	166000	518.0346865184189	-55.385471904099134	349	166000
165	1204.4075105190277	1000	167000	518.0346865184189	-178.89317199375847	351	167000
166	1211.0449695587158	1000	168000	518.0346865184189	-289.0350135552589	354	168000
167	1217.6803045272827	1000	169000	518.0346865184189	-421.85292397555486	356	169000
168	1224.3325912952423	1000	170000	518.0346865184189	-2936.4541362084296	357	170000
169	1230.9722027778625	1000	171000	518.0346865184189	-37.71838808240954	361	171000
170	1237.611124753952	1000	172000	518.0346865184189	-2945.727316146626	362	172000
171	1244.2584509849548	1000	173000	518.0346865184189	-1410.720614445465	363	173000
172	1250.8791317939758	1000	174000	518.0346865184189	-44.59445296809863	367	174000
173	1257.5083746910095	1000	175000	518.0346865184189	-46.03223855827661	380	175000
174	1264.167412519455	1000	176000	518.0346865184189	-835.7840957045566	382	176000
175	1270.816772222519	1000	177000	518.0346865184189	-1050.5387423923237	384	177000
176	1277.455955028534	1000	178000	518.0346865184189	-66.65301905905757	393	178000
177	1284.0824530124664	1000	179000	518.0346865184189	-61.94038704057193	396	179000
178	1290.6986649036407	1000	180000	518.0346865184189	-139.98793962063405	399	180000
179	1297.326570034027	1000	181000	518.0346865184189	-182.8509296985644	401	181000
180	1303.9738829135895	1000	182000	518.0346865184189	-154.2302541947869	404	182000
181	1310.6131920814514	1000	183000	518.0346865184189	-89.19424344866972	414	183000
182	1317.2540426254272	1000	184000	518.0346865184189	-34.85526406955447	423	184000
183	1323.8796713352203	1000	185000	518.0346865184189	-47.145877984579705	425	185000
184	1330.5143280029297	1000	186000	518.0346865184189	-2918.3968681637575	426	186000
185	1337.1546709537506	1000	187000	518.0346865184189	-67.43005227556863	455	187000
186	1343.784199476242	1000	188000	518.0346865184189	-197.19024396368292	457	188000
187	1350.4234693050385	1000	189000	518.0346865184189	-31.869809827036274	497	189000
188	1357.0762197971344	1000	190000	518.0346865184189	-2877.6746333426604	498	190000
